,address_street,address_city_state,listed_price,days_on_market,building_area,basement_features,bedrooms,bathrooms,full_bathrooms,appliances_list,flooring_type,garage_spaces,parking_features,sewer_type,year_built,construction_materials,property_type,property_subtype,architecture_style,mls_status,listing_status,virtual_tour_url,mls_id,elementary_school,elementary_school_district,jr_mid_school,jr_mid_school_district,high_school,high_school_district,lot_area,tax_block,tax_lot,tax_map_num,tax_amount
91,32 Miro Pl,"Port Washington, NY 11050",575000,66,,,2.0,2.0,2.0,,Wall To Wall Carpet,,Assigned,,2004.0,,Residential,Condominium,,A,Active,,3276974,Guggenheim Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,,J,753,,12626.0
92,100 Radcliff Ave,"Port Washington, NY 11050",849000,21,,,4.0,3.0,2.0,,Hardwood,2.0,"Private,Attached",,1967.0,,Residential,Single Family Residence,,A,Active,,3286524,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.17,28,64,N2239-04-028-00-0064-0,15957.0
93,109 Country Club Dr,"Port Washington, NY 11050",2350000,46,,,5.0,4.0,4.0,,Hardwood,1.0,"Private,Attached,Driveway,Off Street",,1947.0,,Residential,Single Family Residence,,A,Active,,3281190,South Salem Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.52,53,188,,18357.0
94,103 Soundview Dr,"Port Washington, NY 11050",1125000,16,,,4.0,3.0,2.0,,Hardwood,2.0,"Private,Attached",,1969.0,,Residential,Single Family Residence,,A,Active,,3287636,Guggenheim Elementary School,Port Washington,,Port Washington,,Port Washington,0.33,115,52,,22422.0
95,2 Barkers Point Rd,"Pt Washington, NY 11050",2675000,28,,,5.0,6.0,5.0,,Hardwood,3.0,"Private,Attached,Storage",,1990.0,,Residential,Single Family Residence,,A,Active,,3285131,Manorhaven Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,1.73,95,9,,60121.0
96,1 Toms Point Ln,"Pt Washington, NY 11050",289000,33,,,1.0,1.0,1.0,,"Hardwood, Wall To Wall Carpet",,,,1965.0,,Residential,Stock Cooperative,,A,Active,,3284135,,Port Washington,,Port Washington,,Port Washington,,,,,
97,4 Shepherds Ln,"Sands Point, NY 11050",2225000,99,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3246168,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,34770.0,B,325,,148851.0
98,51 Cornwells Beach Rd,"Port Washington, NY 11050",3298000,39,,,4.0,6.0,4.0,,Hardwood,2.0,"Private,Attached,Driveway",,1938.0,,Residential,Single Family Residence,,A,Active,,3282639,,Port Washington,,Port Washington,,Port Washington,1.02,C,11,N2251-04-C-00-0011-0,40252.0
99,56 Soundview Dr,"Port Washington, NY 11050",1150000,6,,,4.0,3.0,3.0,,Hardwood,2.0,"Private,Attached,Driveway,Garage",,1960.0,,Residential,Single Family Residence,,A,Active,,3246128,Guggenheim Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.14,117,13,,15759.0
100,1 Toms Point Ln #B2-3D,"Pt Washington, NY 11050",279000,7,,,1.0,1.0,1.0,,Hardwood,,Parking Lot,,1965.0,,Residential,Stock Cooperative,,A,Active,,3289735,Guggenheim Elementary School,Port Washington,,Port Washington,,Port Washington,,,,,
101,13 Miro Pl,"Port Washington, NY 11050",1160000,99,,,3.0,2.0,2.0,,"Hardwood, Wall To Wall Carpet",,Attached,,2004.0,,Residential,Condominium,,A,Active,,3265140,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,,J,,N2239-04-J-00-0775-Uca020800312,19181.0
102,69 Cornwells Beach Rd,"Pt Washington, NY 11050",3699999,99,,,4.0,4.0,3.0,,,3.0,"Private,Attached",,1948.0,,Residential,Single Family Residence,,A,Active,,3214374,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,1.01,C,504,N2251-04-C-00-0504-0,70338.0
103,44 Sterling Ln,"Pt Washington, NY 11050",4288000,99,,,5.0,3.0,3.0,,Hardwood,3.0,"Private,Detached,Driveway",,1967.0,,Residential,Single Family Residence,,A,Active,,3247989,Manorhaven Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,3.99,B,411,N2251-04-B-00-0411-0,58772.0
104,13 The Quarter Deck,"Port Washington, NY 11050",1145000,33,,,3.0,3.0,2.0,,"Hardwood, Wall To Wall Carpet",1.0,"Attached,Covered,Driveway,On Street",,1979.0,,Residential,Condominium,,A,Active,,3284206,Manorhaven Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,,59,654,,12806.0
105,30-2 Hoffstot Ln,"Pt Washington, NY 11050",5000000,99,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3136101,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,2.19,122,33,,51617.0
106,20 Anchor Way,"Port Washington, NY 11050",1600000,99,,,3.0,4.0,3.0,,,,Attached,,1984.0,,Residential,Condominium,,A,Active,,3263150,Manorhaven Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,2.62,59,681,N2221-04-059-00-0681-Uca008200032,17817.0
107,29 Cedar Ln,"Pt Washington, NY 11050",11250000,99,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3263795,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,15.0,C,370/290+,,
108,19 Country Club Dr,"Pt Washington, NY 11050",1049000,6,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3290019,,Port Washington,,Port Washington,,Port Washington,0.37,21,226,,
109,70 Sagamore Hill Dr,"Pt Washington, NY 11050",2100000,30,,,6.0,6.0,4.0,,,,Private,,2017.0,,Residential Income,Multi Family,,A,Active,,3284724,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.25,L,600,,26241.0
110,35-37 Linwood Rd S,"Port Washington, NY 11050",795000,53,,,2.0,4.0,2.0,,,,"Private,Assigned,Driveway,No Garage,Off Site,Off Street,On Street",,1950.0,,Residential Income,Multi Family,,A,Active,,3279395,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.08,,,,15434.0
111,39-41 Linwood Rd S,"Port Washington, NY 11050",775000,50,,,2.0,4.0,2.0,,,,"Private,Assigned,Driveway,No Garage,Off Site,Off Street,On Street",,1950.0,,Residential Income,Multi Family,,A,Active,,3279935,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.08,64,6,,15993.0
112,15 Shore Rd,"Port Washington, NY 11050",1088000,43,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3281518,John Philip Sousa Elementary School,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.42,,,,19660.0
113,20 Ashwood Rd,"Pt Washington, NY 11050",949000,99,,,,,,,,,,,,,Land,Unimproved Land,,A,Active,,3255831,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.2,,,,11987.0
114,11 Birchdale Ln,"Port Washington, NY 11050",2499000,1,,,4.0,4.0,3.0,,Hardwood,2.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Active,,3291464,,Port Washington,Carrie Palmer Weber Middle School,Port Washington,,Port Washington,0.44,56,82,,27589.0
115,7 Gulls Cv,"Manhasset, NY 11030",2995000,19,,,5.0,5.0,5.0,,,2.0,"Private,Attached",,1958.0,,Residential,Single Family Residence,,A,Active,,3287021,Shelter Rock Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.51,E,29,N2237-05-E-00-0029-0,24257.0
116,76 Kensett Rd,"Manhasset, NY 11030",1798000,5,,,4.0,3.0,2.0,,Hardwood,2.0,"Private,Attached,Driveway",,1938.0,,Residential,Single Family Residence,,A,Active,,3290130,Munsey Park Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.28,208,16,,21453.0
117,14 The Blvd,"Sea Cliff, NY 11579",2499000,1,,,4.0,4.0,4.0,,,1.0,"Private,Attached,Heated Garage",,2007.0,,Residential,Single Family Residence,,A,Active,,3291158,Sea Cliff Elementary School,North Shore,North Shore Middle School,North Shore,,North Shore,0.16,,,,25710.0
118,15 Sinclair Martin Dr,"Roslyn, NY 11576",779000,50,,,3.0,3.0,2.0,,Hardwood,1.0,"Private,Attached,Driveway,Garage",,1938.0,,Residential,Single Family Residence,,A,Active,,3279884,,Roslyn,Roslyn Middle School,Roslyn,,Roslyn,0.18,106,108,N2241-07-106-00-0108-0,15099.0
119,151 Hillcrest Ave,"Manhasset, NY 11030",950000,19,,,3.0,2.0,2.0,,Hardwood,1.0,"Private,Garage",,1926.0,,Residential,Single Family Residence,,A,Active,,3286987,Munsey Park Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.11,78,164,N2289-03-078-00-0164-0,14413.0
120,80 Lake Rd,"Manhasset, NY 11030",2395000,99,,,5.0,3.0,2.0,,Hardwood,2.0,"Private,Attached",,1967.0,,Residential,Single Family Residence,,A,Active,,3261152,,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.48,2,53,N2237-03-002-00-0053-0,24568.0
121,690 Bryant Ave,"Roslyn, NY 11576",1399000,48,,,5.0,4.0,3.0,,,2.0,"Private,Attached",,1967.0,,Residential,Single Family Residence,,A,Active,,3280345,Harbor Hill School,Roslyn,Roslyn Middle School,Roslyn,,Roslyn,1.14,M,266,N2245-20-M-00-0266-0,41304.0
122,105 Walnut Ln,"Manhasset, NY 11030",2299000,5,,,6.0,4.0,4.0,,Hardwood,2.0,"Private,Attached,Driveway",,1953.0,,Residential,Single Family Residence,,A,Active,,3290181,Munsey Park Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.34,195,50,N2207-03-195-00-0050-0,32049.0
123,124 Bayview Ave,"Manhasset, NY 11030",1199000,53,,,3.0,2.0,2.0,,Hardwood,2.0,"Private,Detached,Driveway,On Street",,1918.0,,Residential,Single Family Residence,,A,Active,,3279267,Shelter Rock Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.11,41,8,,14808.0
124,130 Harbor Ln,"Roslyn, NY 11576",2999996,1,,,6.0,7.0,5.0,,Hardwood,2.0,"Private,Attached",,2002.0,,Residential,Single Family Residence,,A,Active,,3239030,,Roslyn,Roslyn Middle School,Roslyn,,Roslyn,1.58,97,7,N2245-20-097-00-0007-0,53575.0
125,79 Andrew Rd,"Manhasset, NY 11030",1178888,13,,,3.0,2.0,1.0,,,1.0,"Private,Attached,Driveway",,1936.0,,Residential,Single Family Residence,,A,Active,,3288559,Munsey Park Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.14,,,,16696.0
126,95 Lake Rd,"Manhasset, NY 11030",11800000,99,,,6.0,7.0,6.0,,Hardwood,2.0,"Private,Attached,Driveway,Garage",,1910.0,,Residential,Single Family Residence,,A,Active,,3237144,,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.89,182,36,,165536.0
127,157 Shore Rd,"Glen Cove, NY 11542",715000,99,,,3.0,3.0,2.0,,,1.0,"Private,Attached",,1979.0,,Residential,Townhouse,,A,Active,,3250685,,Glen Cove,Robert M Finley Middle School,Glen Cove,,Glen Cove,0.02,C,443,N0600-21-C-00-0443-0,9853.0
128,166 Webster Ave,"Manhasset, NY 11030",1274000,99,,,4.0,3.0,2.0,,,1.0,"Private,Attached",,1937.0,,Residential,Single Family Residence,,A,Active,,3263719,Shelter Rock Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.18,68,239,N2289-03-068-00-0239-0,18750.0
129,46 Clinton St,"Sea Cliff, NY 11579",789000,19,,,3.0,2.0,2.0,,Hardwood,2.0,"Private,Detached,Driveway",,1935.0,,Residential,Single Family Residence,,A,Active,,3287091,Sea Cliff Elementary School,North Shore,North Shore Middle School,North Shore,,North Shore,0.16,191,1,N2423-21-191-00-0001-0,17672.0
130,908 Mill Crk #908,"Roslyn, NY 11576",1625000,1,,,3.0,3.0,3.0,,,,,,2020.0,,Residential,Condominium,,A,Active,,3260606,Harbor Hill School,Roslyn,Roslyn Middle School,Roslyn,,Roslyn,,,,,
131,208 Littleworth Ln,"Sea Cliff, NY 11579",759000,13,,,3.0,2.0,2.0,,"Hardwood, Wall To Wall Carpet",,"Private,Driveway",,1908.0,,Residential,Single Family Residence,,A,Active,,3288391,Sea Cliff Elementary School,North Shore,North Shore Middle School,North Shore,,North Shore,0.1,K,138,N2423-21-K-00-0138-0,13876.0
132,22 Sycamore Dr,"Roslyn, NY 11576",1925000,50,,,5.0,5.0,4.0,,Hardwood,2.0,"Private,Attached,Driveway",,2009.0,,Residential,Single Family Residence,,A,Active,,3279855,Harbor Hill School,Roslyn,Roslyn Middle School,Roslyn,,Roslyn,0.23,5322,21,N2207-06-053-22-0021-0,31251.0
133,801 Mill Crk #801,"Roslyn, NY 11576",1750000,1,,,3.0,3.0,3.0,,,,Attached,,2020.0,,Residential,Condominium,,A,Active,,3261177,Harbor Hill School,Roslyn,Roslyn Middle School,Roslyn,,Roslyn,,,,,
134,386 Littleworth Ln,"Sea Cliff, NY 11579",2890000,99,,,7.0,9.0,7.0,,Hardwood,1.0,"Private,Attached,Driveway,Storage,On Street",,1913.0,,Residential,Single Family Residence,,A,Active,,3257340,Sea Cliff Elementary School,North Shore,North Shore Middle School,North Shore,,North Shore,1.62,L,151,N2423-21-L-00-0151-0,66544.0
135,168 Prospect Ave,"Sea Cliff, NY 11579",1399999,36,,,4.0,4.0,3.0,,Hardwood,,"Private,Driveway,Other",,1898.0,,Residential,Single Family Residence,,A,Active,,3283329,Sea Cliff Elementary School,North Shore,,North Shore,,North Shore,0.22,F,1985,,16949.0
136,101A Glenwood Rd,"Glenwood Landing, NY 11547",789000,57,,,4.0,3.0,2.0,,Hardwood,,"Private,Driveway,No Garage",,1929.0,,Residential,Single Family Residence,,A,Active,,3278228,Glenwood Landing Elementary School,North Shore,North Shore Middle School,North Shore,,North Shore,0.23,31,258,N2489-20-031-00-0258-0,10190.0
137,8 W Terrace Rd,"Great Neck, NY 11021",1150000,9,,,4.0,3.0,3.0,,Hardwood,1.0,"Private,Attached",,1955.0,,Residential,Single Family Residence,,A,Active,,3289192,E M Baker School,Great Neck,Great Neck North Middle School,Great Neck,,Great Neck,0.19,181,229,N2209-02-181-00-0229-0,15000.0
138,131 Trumbull Rd,"Manhasset, NY 11030",3199000,27,,,4.0,5.0,5.0,,Hardwood,2.0,"Private,Attached",,2019.0,,Residential,Single Family Residence,,A,Active,,3285396,,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.23,208,80,,
139,135 Bay Driveway,"Manhasset, NY 11030",1079000,99,,,3.0,3.0,2.0,,Hardwood,2.0,"Private,Detached",,1957.0,,Residential,Single Family Residence,,A,Active,,3218635,,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.23,171,103,N2235-03-171-00-0103-0,13781.0
140,160 8th Ave,"Sea Cliff, NY 11579",1129000,26,,,3.0,2.0,2.0,,Hardwood,1.0,"Private,Detached",,1898.0,,Residential,Single Family Residence,,A,Active,,3285467,Sea Cliff Elementary School,North Shore,North Shore Middle School,North Shore,,North Shore,0.33,91,305,N2423-21-091-00-0305-0,16627.0
141,7 Aspen Gate,"Manhasset, NY 11030",4350000,18,,,5.0,8.0,7.0,,Hardwood,3.0,"Private,Attached",,2021.0,,Residential,Single Family Residence,,A,Active,,3287391,Shelter Rock Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.51,F,155,,
142,161 Bayview Rd,"Manhasset, NY 11030",3998000,99,,,5.0,5.0,4.0,,Hardwood,3.0,"Private,Attached,Garage",,1998.0,,Residential,Single Family Residence,,A,Active,,3238595,Shelter Rock Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.72,182,60,,37319.0
143,9 Brentwood Ln,"Great Neck, NY 11023",1648000,88,,,4.0,5.0,4.0,,Hardwood,2.0,"Private,Attached",,1992.0,,Residential,Single Family Residence,,A,Active,,3273379,E M Baker School,Great Neck,Great Neck North Middle School,Great Neck,,Great Neck,0.2,104,623,N2289-01-104-00-0623-0,22466.0
144,122 Plymouth Ct,"Manhasset, NY 11030",3350000,49,,,4.0,4.0,3.0,,Hardwood,2.0,"Private,Attached",,2020.0,,Residential,Single Family Residence,,A,Active,,3280046,Shelter Rock Elementary School,Manhasset,Manhasset Middle School,Manhasset,,Manhasset,0.32,167,696,,
